Date,Open,High,Low,Close,Adj Close,Volume
2014-01-24,7.480000,7.550100,7.480000,7.480000,7.480000,0
2014-01-27,7.550100,7.550100,7.524000,7.550100,7.550100,0
2014-01-28,7.524000,7.528700,7.524000,7.524000,7.524000,0
2014-01-29,7.528700,7.549100,7.528700,7.528700,7.528700,0
2014-01-30,7.549100,7.549100,7.509700,7.549100,7.549100,0
2014-01-31,7.509700,7.509700,7.503600,7.509700,7.509700,0
2014-02-03,7.503600,7.503600,7.493100,7.503600,7.503600,0
2014-02-04,7.493100,7.493100,7.490500,7.493100,7.493100,0
2014-02-05,7.490500,7.520400,7.490500,7.490500,7.490500,0
2014-02-06,7.520400,7.520400,7.519800,7.520400,7.520400,0
2014-02-07,7.519800,7.562500,7.519800,7.519800,7.519800,0
2014-02-10,7.562500,7.606300,7.562500,7.562500,7.562500,0
2014-02-11,7.606300,7.656800,7.606300,7.606300,7.606300,0
2014-02-12,7.656800,7.656800,7.621300,7.656800,7.656800,0
2014-02-13,7.621300,7.737600,7.621300,7.621300,7.621300,0
2014-02-14,7.737600,7.770100,7.737600,7.737600,7.737600,0
2014-02-17,7.770100,7.770100,7.769000,7.770100,7.770100,0
2014-02-18,7.769000,7.794700,7.769000,7.769000,7.769000,0
2014-02-19,7.794700,7.861700,7.794700,7.794700,7.794700,0
2014-02-20,7.861700,7.861700,7.852900,7.861700,7.861700,0
2014-02-21,7.852900,7.899800,7.852900,7.852900,7.852900,0
2014-02-24,7.899800,7.902900,7.899800,7.899800,7.899800,0
2014-02-25,7.902900,7.902900,7.902400,7.902900,7.902900,0
2014-02-26,7.902400,7.920100,7.902400,7.902400,7.902400,0
2014-02-27,7.920100,7.920100,7.887900,7.920100,7.920100,0
2014-02-28,7.887900,7.977800,7.887900,7.887900,7.887900,0
2014-03-03,7.977800,7.977800,7.967200,7.977800,7.977800,0
2014-03-04,7.967200,8.083000,7.967200,7.967200,7.967200,0
2014-03-05,8.083000,8.090400,8.083000,8.083000,8.083000,0
2014-03-06,8.090400,8.259800,8.090400,8.090400,8.090400,0
2014-03-07,8.259800,8.259800,8.243400,8.259800,8.259800,0
2014-03-10,8.243400,8.243400,8.218300,8.243400,8.243400,0
2014-03-11,8.218300,8.218300,8.204900,8.218300,8.218300,0
2014-03-12,8.204900,8.204900,8.181500,8.204900,8.204900,0
2014-03-13,8.181500,8.336700,8.181500,8.181500,8.181500,0
2014-03-14,8.336700,8.336800,8.336700,8.336700,8.336700,0
2014-03-17,8.336800,8.491400,8.336800,8.336800,8.336800,0
2014-03-18,8.491400,8.678700,8.491400,8.491400,8.491400,0
2014-03-19,8.678700,8.876200,8.678700,8.678700,8.678700,0
2014-03-20,8.876200,8.876200,8.736900,8.876200,8.876200,0
2014-03-21,8.736900,8.736900,8.468700,8.736900,8.736900,0
2014-03-24,8.468700,8.468700,8.132400,8.468700,8.468700,0
2014-03-25,8.132400,8.302900,8.132400,8.132400,8.132400,0
2014-03-26,8.302900,8.500100,8.302900,8.302900,8.302900,0
2014-03-27,8.500100,8.677300,8.500100,8.500100,8.500100,0
2014-03-28,8.677300,8.677300,8.547500,8.677300,8.677300,0
2014-03-31,8.547500,8.547500,8.360200,8.547500,8.547500,0
2014-04-01,8.360200,8.473800,8.360200,8.360200,8.360200,0
2014-04-02,8.473800,8.491400,8.473800,8.473800,8.473800,0
2014-04-03,8.387600,8.387600,8.387600,8.491400,8.491400,0
2014-04-04,8.387600,8.387600,8.370200,8.387600,8.387600,0
2014-04-07,8.370200,8.376800,8.370200,8.370200,8.370200,0
2014-04-08,8.376800,8.415500,8.376800,8.376800,8.376800,0
2014-04-09,8.415500,8.440100,8.415500,8.415500,8.415500,0
2014-04-10,8.440100,8.440100,8.411600,8.440100,8.440100,0
2014-04-11,8.411600,8.411600,8.396300,8.411600,8.411600,0
2014-04-14,8.396300,8.449500,8.396300,8.396300,8.396300,0
2014-04-15,8.449500,8.531700,8.449500,8.449500,8.449500,0
2014-04-16,8.531700,8.612300,8.531700,8.531700,8.531700,0
2014-04-17,8.612300,8.612300,8.524400,8.612300,8.612300,0
2014-04-18,8.524400,8.524400,8.524400,8.524400,8.524400,0
2014-04-21,8.524400,8.524400,8.524400,8.524400,8.524400,0
2014-04-22,8.524400,8.571500,8.524400,8.524400,8.524400,0
2014-04-23,8.571500,8.602200,8.571500,8.571500,8.571500,0
2014-04-24,8.602200,8.602200,8.545100,8.602200,8.602200,0
2014-04-25,8.545100,8.631800,8.545100,8.545100,8.545100,0
2014-04-28,8.631800,8.700400,8.631800,8.631800,8.631800,0
2014-04-29,8.700400,8.721200,8.700400,8.700400,8.700400,0
2014-04-30,8.721200,8.721200,8.669200,8.721200,8.721200,0
2014-05-01,8.669200,8.669200,8.669200,8.669200,8.669200,0
2014-05-02,8.669200,8.793600,8.669200,8.669200,8.669200,0
2014-05-05,8.793600,8.883900,8.793600,8.793600,8.793600,0
2014-05-06,8.883900,8.987500,8.883900,8.883900,8.883900,0
2014-05-07,8.987500,8.987500,8.962700,8.987500,8.987500,0
2014-05-08,8.962700,9.014600,8.962700,8.962700,8.962700,0
2014-05-09,9.014600,9.014600,8.940700,9.014600,9.014600,0
2014-05-12,8.940700,8.940700,8.892400,8.940700,8.940700,0
2014-05-13,8.892400,8.939200,8.892400,8.892400,8.892400,0
2014-05-14,8.939200,8.989400,8.939200,8.939200,8.939200,0
2014-05-15,8.989400,9.073200,8.989400,8.989400,8.989400,0
2014-05-16,9.073200,9.151400,9.073200,9.073200,9.073200,0
2014-05-19,9.151400,9.151400,9.133200,9.151400,9.151400,0
2014-05-20,9.133200,9.133200,9.127300,9.133200,9.133200,0
2014-05-21,9.127300,9.127300,9.076200,9.127300,9.127300,0
2014-05-22,9.076200,9.193300,9.076200,9.076200,9.076200,0
2014-05-23,9.193300,9.203100,9.193300,9.193300,9.193300,0
2014-05-26,9.203100,9.336000,9.203100,9.203100,9.203100,0
2014-05-27,9.529100,9.529100,9.529100,9.336000,9.336000,0
2014-05-28,9.450600,9.450600,9.450600,9.529100,9.529100,0
2014-05-29,9.450600,9.450600,9.277700,9.450600,9.450600,0
2014-05-30,9.277700,9.341600,9.277700,9.277700,9.277700,0
2014-06-02,9.341600,9.341600,9.238100,9.341600,9.341600,0
2014-06-03,9.238100,9.238100,8.725600,9.238100,9.238100,0
2014-06-04,8.725600,9.197300,8.725600,8.725600,8.725600,0
2014-06-05,9.197300,9.197300,9.040100,9.197300,9.197300,0
2014-06-06,8.742300,8.742300,8.742300,9.040100,9.040100,0
2014-06-09,8.710600,8.710600,8.710600,8.742300,8.742300,0
2014-06-10,8.710600,8.710600,8.591400,8.710600,8.710600,0
2014-06-11,8.591400,8.591400,8.530900,8.591400,8.591400,0
2014-06-12,8.530900,8.699100,8.530900,8.530900,8.530900,0
2014-06-13,8.699100,8.699100,8.473100,8.699100,8.699100,0
2014-06-16,8.473100,8.473100,8.447900,8.473100,8.473100,0
2014-06-17,8.447900,8.447900,8.373600,8.447900,8.447900,0
2014-06-18,8.373600,8.373600,8.314400,8.373600,8.373600,0
2014-06-19,8.314400,8.314400,8.274600,8.314400,8.314400,0
2014-06-20,8.274600,8.274600,8.207400,8.274600,8.274600,0
2014-06-23,8.230400,8.230400,8.230400,8.207400,8.207400,0
2014-06-24,8.245500,8.245500,8.245500,8.230400,8.230400,0
2014-06-25,8.245500,8.245500,8.207300,8.245500,8.245500,0
2014-06-26,8.207300,8.274700,8.207300,8.207300,8.207300,0
2014-06-27,8.274700,8.389100,8.274700,8.274700,8.274700,0
2014-06-30,8.389100,8.515700,8.389100,8.389100,8.389100,0
2014-07-01,8.515700,8.539200,8.515700,8.515700,8.515700,0
2014-07-02,8.503400,8.503400,8.503400,8.539200,8.539200,0
2014-07-03,8.503400,8.503400,8.413900,8.503400,8.503400,0
2014-07-04,8.413900,8.413900,8.286500,8.413900,8.413900,0
2014-07-07,8.286500,8.399600,8.286500,8.286500,8.286500,0
2014-07-08,8.399600,8.399600,8.364400,8.399600,8.399600,0
2014-07-09,8.364400,8.364400,8.335300,8.364400,8.364400,0
2014-07-10,8.213400,8.213400,8.213400,8.335300,8.335300,0
2014-07-11,8.213400,8.248700,8.213400,8.213400,8.213400,0
2014-07-14,8.248700,8.316400,8.248700,8.248700,8.248700,0
2014-07-15,8.316400,8.316400,8.297600,8.316400,8.316400,0
2014-07-16,8.297600,8.297600,8.239000,8.297600,8.297600,0
2014-07-17,8.239000,8.239000,8.195600,8.239000,8.239000,0
2014-07-18,8.195600,8.246400,8.195600,8.195600,8.195600,0
2014-07-21,8.246400,8.246700,8.246400,8.246400,8.246400,0
2014-07-22,8.246700,8.246700,8.201900,8.246700,8.246700,0
2014-07-23,8.195500,8.195500,8.195500,8.201900,8.201900,0
2014-07-24,8.203100,8.203100,8.203100,8.195500,8.195500,0
2014-07-25,8.203100,8.223400,8.203100,8.203100,8.203100,0
2014-07-28,8.223400,8.223400,8.215000,8.223400,8.223400,0
